rank,rank_change,app_name,publisher_name,biz_category_sub,value
1,,카트라이더 러쉬플러스,NEXON Company,운전/레이싱게임,-4.49
2,,Among Us,Innersloth LLC,액션게임,-5.08
3,,리그 오브 레전드: 와일드 리프트,"Riot Games, Inc",전략게임,-20.76
4,,브롤스타즈,Supercell,액션게임,-1.03
5,,ROBLOX,Roblox Corporation,어드벤처게임,-0.66
6,,피망 뉴맞고: 고스톱 대표 맞고 게임,NEOWIZ corp,카지노게임,-0.14
7,,배틀그라운드,"KRAFTON, Inc.",슈팅게임,-0.15
8,,Pokémon GO,"Niantic, Inc.",어드벤처게임,6.27
9,,전략적 팀 전투: 리그 오브 레전드 전략 게임,"Riot Games, Inc",전략게임,-3.48
10,1.0,클래시 로얄,Supercell,전략게임,0.85
11,-1.0,Minecraft,Mojang,액션게임,-0.3
12,,쿠키런: 오븐브레이크 - 쿠키들의 러닝 게임!,Devsisters Corporation,아케이드게임,3.92
13,,한게임 신맞고 : 대한민국 원조 고스톱,NHN PixelCube Corp.,카지노게임,-0.59
14,,애니팡4,"SUNDAYTOZ, INC",퍼즐/퀴즈게임,-1.22
15,,꿈의 집 (Homescapes),Playrix,캐주얼게임,-0.44
16,,클래시 오브 클랜,Supercell,전략게임,0.21
17,,꿈의 정원 (Gardenscapes),Playrix,캐주얼게임,-0.96
18,,프렌즈팝콘,Kakao Games Corp.,퍼즐/퀴즈게임,-1.28
19,1.0,캔디크러쉬사가,King,캐주얼게임,-0.4
20,2.0,무한의 계단,NFLY STUDIO,아케이드게임,2.69
21,,애니팡2,"SUNDAYTOZ, INC",퍼즐/퀴즈게임,-0.38
22,-3.0,LoL+,"Riot Games, Inc",게임커뮤니티,-3.17
23,1.0,애니팡3,"SUNDAYTOZ, INC",퍼즐/퀴즈게임,-0.88
24,1.0,프렌즈팝,Kakao Games Corp.,퍼즐/퀴즈게임,-0.36
25,-2.0,좀비고등학교,AWESOMEPIECE,아케이드게임,-9.21
26,,랜덤 다이스(Random Dice): PvP 디펜스,111%,전략게임,-0.97
27,1.0,"피망 포커: 카지노 로얄 (7포커, 로우바둑이, 하이로우)",NEOWIZ corp,카지노게임,-1.64
28,1.0,가디언 테일즈,Kakao Games Corp.,롤플레잉게임,0.66
29,3.0,고스트헌터 - 퇴마사키우기,DAERISOFT,어드벤처게임,6.04
