,rank,change,name,service,genre
28,29,(-),더 킹 오브 파이터즈 올스타,Netmarble,롤플레잉
29,30,(-),R2M,Webzen Inc.,롤플레잉
30,31,(-5),A3: 스틸얼라이브,Netmarble,롤플레잉
31,32,(-),라그나로크: 라비린스,"GRAVITY Co., Ltd.",롤플레잉
32,33,(-2),라이즈 오브 킹덤즈,Lilith Games,전략
33,34,(-1),리그 오브 레전드: 와일드 리프트,"Riot Games, Inc",전략
34,35,(-),배틀그라운드 모바일,PUBG CORPORATION,액션
35,36,(NEW),삼국지혼,YOUZU(SINGAPORE)PTE.LTD.,카드
36,37,(-3),리니지2 레볼루션,Netmarble,롤플레잉
37,38,(-2),세븐나이츠,Netmarble,롤플레잉
38,39,(NEW),스매시 레전드,LINE Games,액션
39,40,(-),카운터사이드,NEXON Company,롤플레잉
0,1,(-),쿠키런: 킹덤,Devsisters Corporation,롤플레잉
1,2,(-),ROBLOX,Roblox Corporation,어드벤처
2,3,(-),리니지M,NCSOFT Corporation,롤플레잉
3,4,(+1),세븐나이츠2,Netmarble,롤플레잉
4,5,(-1),동물의 숲 포켓 캠프,"Nintendo Co., Ltd.",시뮬레이션
5,6,(-),데카론M,THUMBAGE,롤플레잉
6,7,(+1),리니지2M,NCSOFT Corporation,롤플레잉
7,8,(+1),브롤스타즈,Supercell,액션
8,9,(-2),바람의나라 연,NEXON Company,롤플레잉
9,10,(+1),DK모바일,NTRANCE Corp,롤플레잉
10,11,(+1),원신,miHoYo Limited,어드벤처
11,12,(-2),그랑사가,NPIXEL,롤플레잉
12,13,(+2),프로야구 H3,NCSOFT,스포츠
13,14,(-1),삼국지 전략판,Qookka Games,전략
14,15,(+2),피파 모바일,NEXON Company,스포츠
15,16,(-),미르4,"Wemade Co., Ltd",롤플레잉
16,17,(-3),이카루스 이터널,LINE Games,롤플레잉
17,18,(-),V4,NEXON Company,롤플레잉
18,19,(+1),전략적 팀 전투,"Riot Games, Inc",전략
19,20,(+1),검은사막 모바일,PEARL ABYSS,롤플레잉
20,21,(-2),카트라이더 러쉬플러스,NEXON Company,자동차 경주
21,22,(+1),메이플스토리M,NEXON Company,롤플레잉
22,23,(+1),일곱개의 대죄: 그랜드 크로스,Netmarble,롤플레잉
23,24,(+1),좀비고등학교,AWESOMEPIECE,아케이드
24,25,(+1),포켓몬고,"Niantic, Inc.",어드벤처
25,26,(+1),슬램덩크,DeNA HONG KONG LIMITED,스포츠
26,27,(+1),AFK 아레나,Lilith Games,롤플레잉
27,28,(+11),스매시 레전드,LINE Games,액션
28,29,(+1),R2M,Webzen Inc.,롤플레잉
29,30,(-1),더 킹 오브 파이터즈 올스타,Netmarble,롤플레잉
30,31,(+5),삼국지혼,YOUZU(SINGAPORE)PTE.LTD.,카드
31,32,(+1),라이즈 오브 킹덤즈,Lilith Games,전략
32,33,(-2),A3: 스틸얼라이브,Netmarble,롤플레잉
33,34,(-),리그 오브 레전드: 와일드 리프트,"Riot Games, Inc",전략
34,35,(NEW),블레이드&소울 레볼루션,Netmarble,롤플레잉
35,36,(-1),배틀그라운드 모바일,PUBG CORPORATION,액션
36,37,(NEW),파이널삼국지2,Gamepub,롤플레잉
37,38,(-16),원펀맨: 최강의 남자,GAMENOW TECHNOLOGY,롤플레잉
38,39,(-1),세븐나이츠,Netmarble,롤플레잉
39,40,(-),카운터사이드,NEXON Company,롤플레잉
0,1,(-),쿠키런: 킹덤,Devsisters Corporation,롤플레잉
1,2,(-),ROBLOX,Roblox Corporation,어드벤처
2,3,(+1),세븐나이츠2,Netmarble,롤플레잉
3,4,(+2),데카론M,THUMBAGE,롤플레잉
4,5,(-2),리니지M,NCSOFT Corporation,롤플레잉
5,6,(+1),리니지2M,NCSOFT Corporation,롤플레잉
6,7,(+1),브롤스타즈,Supercell,액션
7,8,(+3),원신,miHoYo Limited,어드벤처
8,9,(-),바람의나라 연,NEXON Company,롤플레잉
9,10,(-5),동물의 숲 포켓 캠프,"Nintendo Co., Ltd.",시뮬레이션
10,11,(+2),프로야구 H3,NCSOFT,스포츠
11,12,(-),그랑사가,NPIXEL,롤플레잉
12,13,(NEW),서머너즈 워: 백년전쟁,Com2uS,전략
13,14,(-),삼국지 전략판,Qookka Games,전략
14,15,(+4),전략적 팀 전투,"Riot Games, Inc",전략
15,16,(-1),피파 모바일,NEXON Company,스포츠
16,17,(-1),미르4,"Wemade Co., Ltd",롤플레잉
17,18,(-8),DK모바일,NTRANCE Corp,롤플레잉
18,19,(-1),V4,NEXON Company,롤플레잉
19,20,(-),검은사막 모바일,PEARL ABYSS,롤플레잉
20,21,(+1),메이플스토리M,NEXON Company,롤플레잉
21,22,(-1),카트라이더 러쉬플러스,NEXON Company,자동차 경주
22,23,(-),일곱개의 대죄: 그랜드 크로스,Netmarble,롤플레잉
23,24,(-),좀비고등학교,AWESOMEPIECE,아케이드
24,25,(-8),이카루스 이터널,LINE Games,롤플레잉
25,26,(+2),스매시 레전드,LINE Games,액션
26,27,(-1),슬램덩크,DeNA HONG KONG LIMITED,스포츠
27,28,(-3),포켓몬고,"Niantic, Inc.",어드벤처
28,29,(-2),AFK 아레나,Lilith Games,롤플레잉
29,30,(+1),삼국지혼,YOUZU(SINGAPORE)PTE.LTD.,카드
30,31,(-2),R2M,Webzen Inc.,롤플레잉
31,32,(+5),파이널삼국지2,Gamepub,롤플레잉
32,33,(-3),더 킹 오브 파이터즈 올스타,Netmarble,롤플레잉
33,34,(+1),블레이드&소울 레볼루션,Netmarble,롤플레잉
34,35,(-3),라이즈 오브 킹덤즈,Lilith Games,전략
35,36,(NEW),서머너즈 워: 천공의 아레나,Com2uS,롤플레잉
36,37,(+3),카운터사이드,NEXON Company,롤플레잉
37,38,(-5),A3: 스틸얼라이브,Netmarble,롤플레잉
38,39,(-5),리그 오브 레전드: 와일드 리프트,"Riot Games, Inc",전략
39,40,(-4),배틀그라운드 모바일,PUBG CORPORATION,액션
0,1,(-),쿠키런: 킹덤,Devsisters Corporation,롤플레잉
1,2,(-),ROBLOX,Roblox Corporation,어드벤처
2,3,(-),세븐나이츠2,Netmarble,롤플레잉
3,4,(-),데카론M,THUMBAGE,롤플레잉
4,5,(-),리니지M,NCSOFT Corporation,롤플레잉
5,6,(-),리니지2M,NCSOFT Corporation,롤플레잉
6,7,(-),브롤스타즈,Supercell,액션
7,8,(-),원신,miHoYo Limited,어드벤처
8,9,(-),바람의나라 연,NEXON Company,롤플레잉
9,10,(+3),서머너즈 워: 백년전쟁,Com2uS,전략
10,11,(+4),전략적 팀 전투,"Riot Games, Inc",전략
11,12,(-),그랑사가,NPIXEL,롤플레잉
12,13,(+1),삼국지 전략판,Qookka Games,전략
13,14,(+2),피파 모바일,NEXON Company,스포츠
14,15,(-4),프로야구 H3,NCSOFT,스포츠
15,16,(-6),동물의 숲 포켓 캠프,"Nintendo Co., Ltd.",시뮬레이션
16,17,(-),미르4,"Wemade Co., Ltd",롤플레잉
17,18,(+4),카트라이더 러쉬플러스,NEXON Company,자동차 경주
18,19,(-),V4,NEXON Company,롤플레잉
19,20,(-),검은사막 모바일,PEARL ABYSS,롤플레잉
20,21,(-),메이플스토리M,NEXON Company,롤플레잉
21,22,(+1),일곱개의 대죄: 그랜드 크로스,Netmarble,롤플레잉
22,23,(+1),좀비고등학교,AWESOMEPIECE,아케이드
23,24,(+8),파이널삼국지2,Gamepub,롤플레잉
24,25,(-7),DK모바일,NTRANCE Corp,롤플레잉
25,26,(+2),포켓몬고,"Niantic, Inc.",어드벤처
26,27,(-),슬램덩크,DeNA HONG KONG LIMITED,스포츠
27,28,(+2),삼국지혼,YOUZU(SINGAPORE)PTE.LTD.,카드
28,29,(-),AFK 아레나,Lilith Games,롤플레잉
29,30,(+1),R2M,Webzen Inc.,롤플레잉
30,31,(+3),블레이드&소울 레볼루션,Netmarble,롤플레잉
31,32,(+1),더 킹 오브 파이터즈 올스타,Netmarble,롤플레잉
32,33,(+2),라이즈 오브 킹덤즈,Lilith Games,전략
33,34,(+2),서머너즈 워: 천공의 아레나,Com2uS,롤플레잉
34,35,(+2),카운터사이드,NEXON Company,롤플레잉
35,36,(-10),스매시 레전드,LINE Games,액션
36,37,(-12),이카루스 이터널,LINE Games,롤플레잉
37,38,(-),A3: 스틸얼라이브,Netmarble,롤플레잉
38,39,(NEW),세븐나이츠,Netmarble,롤플레잉
39,40,(NEW),가디언 테일즈,Kakao Games Corp.,롤플레잉
0,1,(-),쿠키런: 킹덤,Devsisters Corporation,롤플레잉
1,2,(-),ROBLOX,Roblox Corporation,어드벤처
2,3,(-),세븐나이츠2,Netmarble,롤플레잉
3,4,(-),데카론M,THUMBAGE,롤플레잉
4,5,(+1),리니지2M,NCSOFT Corporation,롤플레잉
5,6,(-1),리니지M,NCSOFT Corporation,롤플레잉
6,7,(-),브롤스타즈,Supercell,액션
7,8,(-),원신,miHoYo Limited,어드벤처
8,9,(-),바람의나라 연,NEXON Company,롤플레잉
9,10,(+1),전략적 팀 전투,"Riot Games, Inc",전략
10,11,(-1),서머너즈 워: 백년전쟁,Com2uS,전략
11,12,(-),그랑사가,NPIXEL,롤플레잉
12,13,(-),삼국지 전략판,Qookka Games,전략
13,14,(+4),카트라이더 러쉬플러스,NEXON Company,자동차 경주
14,15,(+2),미르4,"Wemade Co., Ltd",롤플레잉
15,16,(+3),V4,NEXON Company,롤플레잉
16,17,(-2),프로야구 H3,NCSOFT,스포츠
17,18,(-4),피파 모바일,NEXON Company,스포츠
18,19,(+4),좀비고등학교,AWESOMEPIECE,아케이드
19,20,(-4),동물의 숲 포켓 캠프,"Nintendo Co., Ltd.",시뮬레이션
20,21,(-),메이플스토리M,NEXON Company,롤플레잉
21,22,(+2),파이널삼국지2,Gamepub,롤플레잉
22,23,(-3),검은사막 모바일,PEARL ABYSS,롤플레잉
23,24,(-2),일곱개의 대죄: 그랜드 크로스,Netmarble,롤플레잉
24,25,(NEW),킹덤 : 전쟁의 불씨,파우게임즈,롤플레잉
25,26,(-),포켓몬고,"Niantic, Inc.",어드벤처
26,27,(-),슬램덩크,DeNA HONG KONG LIMITED,스포츠
27,28,(+1),AFK 아레나,Lilith Games,롤플레잉
28,29,(+3),더 킹 오브 파이터즈 올스타,Netmarble,롤플레잉
29,30,(+1),블레이드&소울 레볼루션,Netmarble,롤플레잉
30,31,(+2),라이즈 오브 킹덤즈,Lilith Games,전략
31,32,(+8),가디언 테일즈,Kakao Games Corp.,롤플레잉
32,33,(-3),R2M,Webzen Inc.,롤플레잉
33,34,(-),서머너즈 워: 천공의 아레나,Com2uS,롤플레잉
34,35,(-),카운터사이드,NEXON Company,롤플레잉
35,36,(NEW),배틀그라운드 모바일,PUBG CORPORATION,액션
36,37,(NEW),제5인격,X.D. Global,어드벤처
37,38,(-13),DK모바일,NTRANCE Corp,롤플레잉
38,39,(-),세븐나이츠,Netmarble,롤플레잉
39,40,(NEW),리그 오브 레전드: 와일드 리프트,"Riot Games, Inc",전략
0,1,(-),쿠키런: 킹덤,Devsisters Corporation,롤플레잉
1,2,(NEW),트릭스터M,NCSOFT,롤플레잉
2,3,(-1),ROBLOX,Roblox Corporation,어드벤처
3,4,(-1),세븐나이츠2,Netmarble,롤플레잉
4,5,(+1),리니지M,NCSOFT Corporation,롤플레잉
5,6,(+2),원신,miHoYo Limited,어드벤처
6,7,(-),브롤스타즈,Supercell,액션
7,8,(+1),바람의나라 연,NEXON Company,롤플레잉
8,9,(-4),리니지2M,NCSOFT Corporation,롤플레잉
9,10,(-),전략적 팀 전투,"Riot Games, Inc",전략
10,11,(-7),데카론M,THUMBAGE,롤플레잉
11,12,(-1),서머너즈 워: 백년전쟁,Com2uS,전략
12,13,(-1),그랑사가,NPIXEL,롤플레잉
13,14,(-1),삼국지 전략판,Qookka Games,전략
14,15,(-1),카트라이더 러쉬플러스,NEXON Company,자동차 경주
15,16,(-1),미르4,"Wemade Co., Ltd",롤플레잉
16,17,(-1),V4,NEXON Company,롤플레잉
17,18,(+7),킹덤 : 전쟁의 불씨,파우게임즈,롤플레잉
18,19,(-2),프로야구 H3,NCSOFT,스포츠
