,rank,change,name,service,genre
15,16,(-4),쿠키런: 오븐브레이크,Devsisters Corporation,아케이드
16,17,(NEW),DX : 신 세기의 전쟁,Efun Company,롤플레잉
17,18,(-3),메이플스토리M,NEXON Company,롤플레잉
18,19,(-2),좀비고등학교,AWESOMEPIECE,아케이드
19,20,(-2),뮤오리진2,Webzen Inc.,롤플레잉
20,21,(+2),랑그릿사,ZlongGames,전략
21,22,(-1),포켓몬고,"Niantic, Inc.",어드벤처
22,23,(-3),리니지2 레볼루션,Netmarble,롤플레잉
23,24,(-2),배틀그라운드 모바일,PUBG CORPORATION,액션
24,25,(-5),오늘도 우라라 원시 헌팅 라이프,X.D. Global,롤플레잉
25,26,(-1),클래시 로얄,Supercell,전략
26,27,(+7),포트리스M,Aprogen Healthcare & Games Inc.,액션
27,28,(-4),기적의 검,4399 KOREA,롤플레잉
28,29,(-2),블레이드&소울 레볼루션,Netmarble,롤플레잉
29,30,(-4),로한M,PLAYWITH Inc.,롤플레잉
30,31,(-3),제5인격,X.D. Global,어드벤처
31,32,(-2),에픽세븐,Smilegate Megaport,롤플레잉
32,33,(NEW),데이트 어 라이브: 다시 만난 정령,"MOONWALK HK Co.,Ltd.",롤플레잉
33,34,(-5),라플라스M,Zilong Game Limited,롤플레잉
34,35,(-4),마블 퓨처파이트,Netmarble,롤플레잉
35,36,(NEW),클래시 오브 클랜,Supercell,전략
36,37,(-4),붕괴3rd,miHoYo Limited,액션
37,38,(-2),라스트오리진,smart joy,롤플레잉
38,39,(-4),페이트 그랜드 오더,Netmarble,롤플레잉
39,40,(-1),냥코 대전쟁,PONOS Corporation,캐주얼 게임
0,1,(-),V4,NEXON Company,롤플레잉
1,2,(+1),리니지M,NCSOFT Corporation,롤플레잉
2,3,(-1),달빛조각사,Kakao Games Corp.,롤플레잉
3,4,(-),브롤스타즈,Supercell,액션
4,5,(-),완미세계,Perfect World Games,롤플레잉
5,6,(-),세인트 세이야 : 각성,YOUZU(SINGAPORE)PTE.LTD.,카드
6,7,(+1),ROBLOX,Roblox Corporation,어드벤처
7,8,(-1),라이즈 오브 킹덤즈,Lilith Games,전략
8,9,(-),일곱개의 대죄: 그랜드 크로스,Netmarble,롤플레잉
9,10,(-),검은사막 모바일,PEARL ABYSS,롤플레잉
10,11,(-),더 킹 오브 파이터즈 올스타,Netmarble,롤플레잉
11,12,(+3),아이들 히어로즈,DHGAMES,롤플레잉
12,13,(+3),쿠키런: 오븐브레이크,Devsisters Corporation,아케이드
13,14,(-2),에오스 레드,BluePotion Games,롤플레잉
14,15,(-1),세븐나이츠 for kakao,Netmarble,롤플레잉
15,16,(+1),DX : 신 세기의 전쟁,Efun Company,롤플레잉
16,17,(+1),메이플스토리M,NEXON Company,롤플레잉
17,18,(+2),뮤오리진2,Webzen Inc.,롤플레잉
18,19,(-),좀비고등학교,AWESOMEPIECE,아케이드
19,20,(+1),랑그릿사,ZlongGames,전략
20,21,(+1),포켓몬고,"Niantic, Inc.",어드벤처
21,22,(+1),리니지2 레볼루션,Netmarble,롤플레잉
22,23,(+3),클래시 로얄,Supercell,전략
23,24,(+1),오늘도 우라라 원시 헌팅 라이프,X.D. Global,롤플레잉
24,25,(-1),배틀그라운드 모바일,PUBG CORPORATION,액션
25,26,(+1),포트리스M,Aprogen Healthcare & Games Inc.,액션
26,27,(+2),블레이드&소울 레볼루션,Netmarble,롤플레잉
27,28,(-),기적의 검,4399 KOREA,롤플레잉
28,29,(+2),제5인격,X.D. Global,어드벤처
29,30,(+8),라스트오리진,smart joy,롤플레잉
30,31,(+2),데이트 어 라이브: 다시 만난 정령,"MOONWALK HK Co.,Ltd.",롤플레잉
31,32,(-),에픽세븐,Smilegate Megaport,롤플레잉
32,33,(-3),로한M,PLAYWITH Inc.,롤플레잉
33,34,(+1),마블 퓨처파이트,Netmarble,롤플레잉
34,35,(+1),클래시 오브 클랜,Supercell,전략
35,36,(+3),페이트 그랜드 오더,Netmarble,롤플레잉
36,37,(-3),라플라스M,Zilong Game Limited,롤플레잉
37,38,(-1),붕괴3rd,miHoYo Limited,액션
38,39,(-26),트라하,NEXON Company,롤플레잉
39,40,(-),냥코 대전쟁,PONOS Corporation,캐주얼 게임
0,1,(-),V4,NEXON Company,롤플레잉
1,2,(NEW),엑소스 히어로즈,LINE Games,롤플레잉
2,3,(-1),리니지M,NCSOFT Corporation,롤플레잉
3,4,(-1),달빛조각사,Kakao Games Corp.,롤플레잉
4,5,(-1),브롤스타즈,Supercell,액션
5,6,(-),세인트 세이야 : 각성,YOUZU(SINGAPORE)PTE.LTD.,카드
6,7,(-),ROBLOX,Roblox Corporation,어드벤처
7,8,(+2),검은사막 모바일,PEARL ABYSS,롤플레잉
8,9,(-1),라이즈 오브 킹덤즈,Lilith Games,전략
9,10,(+1),더 킹 오브 파이터즈 올스타,Netmarble,롤플레잉
10,11,(-2),일곱개의 대죄: 그랜드 크로스,Netmarble,롤플레잉
11,12,(-),아이들 히어로즈,DHGAMES,롤플레잉
12,13,(+2),세븐나이츠 for kakao,Netmarble,롤플레잉
13,14,(+3),메이플스토리M,NEXON Company,롤플레잉
14,15,(+3),뮤오리진2,Webzen Inc.,롤플레잉
15,16,(-),DX : 신 세기의 전쟁,Efun Company,롤플레잉
16,17,(-3),에오스 레드,BluePotion Games,롤플레잉
17,18,(+4),리니지2 레볼루션,Netmarble,롤플레잉
18,19,(+2),포켓몬고,"Niantic, Inc.",어드벤처
19,20,(-1),좀비고등학교,AWESOMEPIECE,아케이드
20,21,(-16),완미세계,Perfect World Games,롤플레잉
21,22,(+1),클래시 로얄,Supercell,전략
22,23,(+7),라스트오리진,smart joy,롤플레잉
23,24,(+3),블레이드&소울 레볼루션,Netmarble,롤플레잉
24,25,(-5),랑그릿사,ZlongGames,전략
25,26,(-),포트리스M,Aprogen Healthcare & Games Inc.,액션
26,27,(-2),배틀그라운드 모바일,PUBG CORPORATION,액션
27,28,(+3),데이트 어 라이브: 다시 만난 정령,"MOONWALK HK Co.,Ltd.",롤플레잉
28,29,(-1),기적의 검,4399 KOREA,롤플레잉
29,30,(-6),오늘도 우라라 원시 헌팅 라이프,X.D. Global,롤플레잉
30,31,(-2),제5인격,X.D. Global,어드벤처
31,32,(-),에픽세븐,Smilegate Megaport,롤플레잉
32,33,(-),로한M,PLAYWITH Inc.,롤플레잉
33,34,(-21),쿠키런: 오븐브레이크,Devsisters Corporation,아케이드
34,35,(-),클래시 오브 클랜,Supercell,전략
35,36,(NEW),염왕이 뿔났다,X.D. Global,롤플레잉
36,37,(-1),페이트 그랜드 오더,Netmarble,롤플레잉
37,38,(-),붕괴3rd,miHoYo Limited,액션
38,39,(-5),마블 퓨처파이트,Netmarble,롤플레잉
39,40,(-),냥코 대전쟁,PONOS Corporation,캐주얼 게임
0,1,(NEW),리니지2M,NCSOFT Corporation,롤플레잉
1,2,(-1),V4,NEXON Company,롤플레잉
2,3,(-),리니지M,NCSOFT Corporation,롤플레잉
3,4,(-2),엑소스 히어로즈,LINE Games,롤플레잉
4,5,(-),브롤스타즈,Supercell,액션
5,6,(-2),달빛조각사,Kakao Games Corp.,롤플레잉
6,7,(+1),검은사막 모바일,PEARL ABYSS,롤플레잉
7,8,(-1),ROBLOX,Roblox Corporation,어드벤처
8,9,(-),라이즈 오브 킹덤즈,Lilith Games,전략
9,10,(-),더 킹 오브 파이터즈 올스타,Netmarble,롤플레잉
10,11,(-),일곱개의 대죄: 그랜드 크로스,Netmarble,롤플레잉
11,12,(+6),리니지2 레볼루션,Netmarble,롤플레잉
12,13,(+1),메이플스토리M,NEXON Company,롤플레잉
13,14,(-1),세븐나이츠 for kakao,Netmarble,롤플레잉
14,15,(+9),블레이드&소울 레볼루션,Netmarble,롤플레잉
15,16,(+3),포켓몬고,"Niantic, Inc.",어드벤처
16,17,(+8),랑그릿사,ZlongGames,전략
17,18,(-2),DX : 신 세기의 전쟁,Efun Company,롤플레잉
18,19,(+1),좀비고등학교,AWESOMEPIECE,아케이드
19,20,(+2),클래시 로얄,Supercell,전략
20,21,(-4),에오스 레드,BluePotion Games,롤플레잉
21,22,(+1),라스트오리진,smart joy,롤플레잉
22,23,(+4),배틀그라운드 모바일,PUBG CORPORATION,액션
23,24,(+5),기적의 검,4399 KOREA,롤플레잉
24,25,(+6),제5인격,X.D. Global,어드벤처
25,26,(+4),오늘도 우라라 원시 헌팅 라이프,X.D. Global,롤플레잉
26,27,(+5),에픽세븐,Smilegate Megaport,롤플레잉
27,28,(+8),염왕이 뿔났다,X.D. Global,롤플레잉
28,29,(-1),데이트 어 라이브: 다시 만난 정령,"MOONWALK HK Co.,Ltd.",롤플레잉
29,30,(+9),마블 퓨처파이트,Netmarble,롤플레잉
30,31,(+4),클래시 오브 클랜,Supercell,전략
31,32,(+5),페이트 그랜드 오더,Netmarble,롤플레잉
32,33,(-),로한M,PLAYWITH Inc.,롤플레잉
33,34,(-8),포트리스M,Aprogen Healthcare & Games Inc.,액션
34,35,(-1),쿠키런: 오븐브레이크,Devsisters Corporation,아케이드
35,36,(+4),냥코 대전쟁,PONOS Corporation,캐주얼 게임
36,37,(+1),붕괴3rd,miHoYo Limited,액션
37,38,(NEW),라플라스M,Zilong Game Limited,롤플레잉
38,39,(NEW),킹스레이드,Vespa Inc.,롤플레잉
39,40,(-19),완미세계,Perfect World Games,롤플레잉
0,1,(-),리니지2M,NCSOFT Corporation,롤플레잉
1,2,(-),V4,NEXON Company,롤플레잉
2,3,(+1),엑소스 히어로즈,LINE Games,롤플레잉
3,4,(-1),리니지M,NCSOFT Corporation,롤플레잉
4,5,(-),브롤스타즈,Supercell,액션
5,6,(-),달빛조각사,Kakao Games Corp.,롤플레잉
6,7,(-),검은사막 모바일,PEARL ABYSS,롤플레잉
7,8,(-),ROBLOX,Roblox Corporation,어드벤처
8,9,(-),라이즈 오브 킹덤즈,Lilith Games,전략
9,10,(-),더 킹 오브 파이터즈 올스타,Netmarble,롤플레잉
10,11,(-),일곱개의 대죄: 그랜드 크로스,Netmarble,롤플레잉
11,12,(-),리니지2 레볼루션,Netmarble,롤플레잉
12,13,(+2),블레이드&소울 레볼루션,Netmarble,롤플레잉
13,14,(-1),메이플스토리M,NEXON Company,롤플레잉
14,15,(-1),세븐나이츠 for kakao,Netmarble,롤플레잉
15,16,(-),포켓몬고,"Niantic, Inc.",어드벤처
16,17,(+3),클래시 로얄,Supercell,전략
17,18,(-1),랑그릿사,ZlongGames,전략
18,19,(+3),라스트오리진,smart joy,롤플레잉
19,20,(-1),좀비고등학교,AWESOMEPIECE,아케이드
20,21,(-),에오스 레드,BluePotion Games,롤플레잉
21,22,(+1),배틀그라운드 모바일,PUBG CORPORATION,액션
22,23,(+1),기적의 검,4399 KOREA,롤플레잉
23,24,(+1),제5인격,X.D. Global,어드벤처
24,25,(+3),염왕이 뿔났다,X.D. Global,롤플레잉
25,26,(-),오늘도 우라라 원시 헌팅 라이프,X.D. Global,롤플레잉
26,27,(+4),클래시 오브 클랜,Supercell,전략
27,28,(+2),마블 퓨처파이트,Netmarble,롤플레잉
28,29,(-2),에픽세븐,Smilegate Megaport,롤플레잉
29,30,(+2),페이트 그랜드 오더,Netmarble,롤플레잉
30,31,(-13),DX : 신 세기의 전쟁,Efun Company,롤플레잉
31,32,(NEW),모두의마블 for kakao,Netmarble,보드
32,33,(-),로한M,PLAYWITH Inc.,롤플레잉
33,34,(+2),냥코 대전쟁,PONOS Corporation,캐주얼 게임
34,35,(-),쿠키런: 오븐브레이크,Devsisters Corporation,아케이드
35,36,(-7),데이트 어 라이브: 다시 만난 정령,"MOONWALK HK Co.,Ltd.",롤플레잉
36,37,(NEW),프린세스 커넥트! Re:Dive,Kakao Games Corp.,롤플레잉
37,38,(-1),붕괴3rd,miHoYo Limited,액션
38,39,(-),킹스레이드,Vespa Inc.,롤플레잉
39,40,(-2),라플라스M,Zilong Game Limited,롤플레잉
0,1,(-),리니지2M,NCSOFT Corporation,롤플레잉
1,2,(+1),엑소스 히어로즈,LINE Games,롤플레잉
2,3,(-1),V4,NEXON Company,롤플레잉
3,4,(-),리니지M,NCSOFT Corporation,롤플레잉
4,5,(-),브롤스타즈,Supercell,액션
5,6,(+1),검은사막 모바일,PEARL ABYSS,롤플레잉
6,7,(-1),달빛조각사,Kakao Games Corp.,롤플레잉
7,8,(-),ROBLOX,Roblox Corporation,어드벤처
8,9,(-),라이즈 오브 킹덤즈,Lilith Games,전략
9,10,(-),더 킹 오브 파이터즈 올스타,Netmarble,롤플레잉
10,11,(-),일곱개의 대죄: 그랜드 크로스,Netmarble,롤플레잉
11,12,(-),리니지2 레볼루션,Netmarble,롤플레잉
12,13,(NEW),게임빌프로야구 슈퍼스타즈,GAMEVIL,스포츠
13,14,(-1),블레이드&소울 레볼루션,Netmarble,롤플레잉
14,15,(-1),메이플스토리M,NEXON Company,롤플레잉
15,16,(-),포켓몬고,"Niantic, Inc.",어드벤처
16,17,(-),클래시 로얄,Supercell,전략
17,18,(+2),좀비고등학교,AWESOMEPIECE,아케이드
18,19,(-4),세븐나이츠 for kakao,Netmarble,롤플레잉
19,20,(-1),라스트오리진,smart joy,롤플레잉
20,21,(+1),배틀그라운드 모바일,PUBG CORPORATION,액션
21,22,(+1),기적의 검,4399 KOREA,롤플레잉
22,23,(+1),제5인격,X.D. Global,어드벤처
23,24,(-3),에오스 레드,BluePotion Games,롤플레잉
24,25,(-),염왕이 뿔났다,X.D. Global,롤플레잉
25,26,(+1),클래시 오브 클랜,Supercell,전략
26,27,(-9),랑그릿사,ZlongGames,전략
27,28,(-2),오늘도 우라라 원시 헌팅 라이프,X.D. Global,롤플레잉
28,29,(+1),페이트 그랜드 오더,Netmarble,롤플레잉
29,30,(-2),마블 퓨처파이트,Netmarble,롤플레잉
30,31,(+1),모두의마블 for kakao,Netmarble,보드
31,32,(-3),에픽세븐,Smilegate Megaport,롤플레잉
32,33,(+1),냥코 대전쟁,PONOS Corporation,캐주얼 게임
33,34,(+3),프린세스 커넥트! Re:Dive,Kakao Games Corp.,롤플레잉
34,35,(-2),로한M,PLAYWITH Inc.,롤플레잉
35,36,(-1),쿠키런: 오븐브레이크,Devsisters Corporation,아케이드
36,37,(+2),킹스레이드,Vespa Inc.,롤플레잉
37,38,(-),붕괴3rd,miHoYo Limited,액션
38,39,(+1),라플라스M,Zilong Game Limited,롤플레잉
39,40,(NEW),소녀전선,X.D. Global,롤플레잉
0,1,(-),리니지2M,NCSOFT Corporation,롤플레잉
1,2,(+1),V4,NEXON Company,롤플레잉
2,3,(+2),브롤스타즈,Supercell,액션
3,4,(-),리니지M,NCSOFT Corporation,롤플레잉
4,5,(+1),검은사막 모바일,PEARL ABYSS,롤플레잉
5,6,(+1),달빛조각사,Kakao Games Corp.,롤플레잉
6,7,(-5),엑소스 히어로즈,LINE Games,롤플레잉
7,8,(-),ROBLOX,Roblox Corporation,어드벤처
8,9,(-),라이즈 오브 킹덤즈,Lilith Games,전략
9,10,(-),더 킹 오브 파이터즈 올스타,Netmarble,롤플레잉
10,11,(-),일곱개의 대죄: 그랜드 크로스,Netmarble,롤플레잉
11,12,(-),리니지2 레볼루션,Netmarble,롤플레잉
12,13,(+1),블레이드&소울 레볼루션,Netmarble,롤플레잉
13,14,(-1),게임빌프로야구 슈퍼스타즈,GAMEVIL,스포츠
14,15,(-),메이플스토리M,NEXON Company,롤플레잉
15,16,(-),포켓몬고,"Niantic, Inc.",어드벤처
16,17,(-),클래시 로얄,Supercell,전략
17,18,(-),좀비고등학교,AWESOMEPIECE,아케이드
18,19,(+8),랑그릿사,ZlongGames,전략
19,20,(+1),배틀그라운드 모바일,PUBG CORPORATION,액션
20,21,(-1),라스트오리진,smart joy,롤플레잉
21,22,(-),기적의 검,4399 KOREA,롤플레잉
22,23,(-4),세븐나이츠 for kakao,Netmarble,롤플레잉
23,24,(-1),제5인격,X.D. Global,어드벤처
24,25,(-1),에오스 레드,BluePotion Games,롤플레잉
25,26,(-),클래시 오브 클랜,Supercell,전략
26,27,(+4),모두의마블 for kakao,Netmarble,보드
27,28,(+1),페이트 그랜드 오더,Netmarble,롤플레잉
28,29,(+1),마블 퓨처파이트,Netmarble,롤플레잉
29,30,(+2),에픽세븐,Smilegate Megaport,롤플레잉
30,31,(-3),오늘도 우라라 원시 헌팅 라이프,X.D. Global,롤플레잉
31,32,(+1),냥코 대전쟁,PONOS Corporation,캐주얼 게임
32,33,(+2),로한M,PLAYWITH Inc.,롤플레잉
33,34,(+2),쿠키런: 오븐브레이크,Devsisters Corporation,아케이드
34,35,(-1),프린세스 커넥트! Re:Dive,Kakao Games Corp.,롤플레잉
35,36,(NEW),라그나로크M: 영원한 사랑,"GRAVITY Co., Ltd.",롤플레잉
36,37,(-12),염왕이 뿔났다,X.D. Global,롤플레잉
37,38,(-1),킹스레이드,Vespa Inc.,롤플레잉
38,39,(-),라플라스M,Zilong Game Limited,롤플레잉
39,40,(-),소녀전선,X.D. Global,롤플레잉
0,1,(-),리니지2M,NCSOFT Corporation,롤플레잉
1,2,(+1),브롤스타즈,Supercell,액션
2,3,(-1),V4,NEXON Company,롤플레잉
3,4,(-),리니지M,NCSOFT Corporation,롤플레잉
4,5,(-),검은사막 모바일,PEARL ABYSS,롤플레잉
5,6,(-),달빛조각사,Kakao Games Corp.,롤플레잉
6,7,(+1),ROBLOX,Roblox Corporation,어드벤처
7,8,(+1),라이즈 오브 킹덤즈,Lilith Games,전략
8,9,(-2),엑소스 히어로즈,LINE Games,롤플레잉
9,10,(-),더 킹 오브 파이터즈 올스타,Netmarble,롤플레잉
10,11,(-),일곱개의 대죄: 그랜드 크로스,Netmarble,롤플레잉
11,12,(+3),메이플스토리M,NEXON Company,롤플레잉
12,13,(-1),리니지2 레볼루션,Netmarble,롤플레잉
13,14,(-1),블레이드&소울 레볼루션,Netmarble,롤플레잉
14,15,(+1),포켓몬고,"Niantic, Inc.",어드벤처
15,16,(+2),좀비고등학교,AWESOMEPIECE,아케이드
16,17,(-),클래시 로얄,Supercell,전략
17,18,(+1),랑그릿사,ZlongGames,전략
18,19,(+1),배틀그라운드 모바일,PUBG CORPORATION,액션
19,20,(+1),라스트오리진,smart joy,롤플레잉
20,21,(+1),기적의 검,4399 KOREA,롤플레잉
21,22,(+2),제5인격,X.D. Global,어드벤처
22,23,(-),세븐나이츠 for kakao,Netmarble,롤플레잉
23,24,(+2),클래시 오브 클랜,Supercell,전략
24,25,(-),에오스 레드,BluePotion Games,롤플레잉
25,26,(+1),모두의마블 for kakao,Netmarble,보드
26,27,(+1),페이트 그랜드 오더,Netmarble,롤플레잉
27,28,(+2),에픽세븐,Smilegate Megaport,롤플레잉
28,29,(NEW),붕괴3rd,miHoYo Limited,액션
29,30,(+1),오늘도 우라라 원시 헌팅 라이프,X.D. Global,롤플레잉
30,31,(NEW),궁수의 전설,Habby,액션
31,32,(-18),게임빌프로야구 슈퍼스타즈,GAMEVIL,스포츠
32,33,(-4),마블 퓨처파이트,Netmarble,롤플레잉
33,34,(-2),냥코 대전쟁,PONOS Corporation,캐주얼 게임
34,35,(-1),쿠키런: 오븐브레이크,Devsisters Corporation,아케이드
35,36,(-),라그나로크M: 영원한 사랑,"GRAVITY Co., Ltd.",롤플레잉
36,37,(-4),로한M,PLAYWITH Inc.,롤플레잉
37,38,(-3),프린세스 커넥트! Re:Dive,Kakao Games Corp.,롤플레잉
38,39,(-),라플라스M,Zilong Game Limited,롤플레잉
39,40,(-),소녀전선,X.D. Global,롤플레잉
0,1,(-),리니지2M,NCSOFT Corporation,롤플레잉
1,2,(-),브롤스타즈,Supercell,액션
2,3,(-),V4,NEXON Company,롤플레잉
3,4,(-),리니지M,NCSOFT Corporation,롤플레잉
4,5,(+2),ROBLOX,Roblox Corporation,어드벤처
5,6,(-1),검은사막 모바일,PEARL ABYSS,롤플레잉
6,7,(-1),달빛조각사,Kakao Games Corp.,롤플레잉
7,8,(-),라이즈 오브 킹덤즈,Lilith Games,전략
8,9,(+1),더 킹 오브 파이터즈 올스타,Netmarble,롤플레잉
9,10,(+1),일곱개의 대죄: 그랜드 크로스,Netmarble,롤플레잉
10,11,(-2),엑소스 히어로즈,LINE Games,롤플레잉
11,12,(-),메이플스토리M,NEXON Company,롤플레잉
12,13,(-),리니지2 레볼루션,Netmarble,롤플레잉
13,14,(+1),포켓몬고,"Niantic, Inc.",어드벤처
14,15,(+1),좀비고등학교,AWESOMEPIECE,아케이드
15,16,(-2),블레이드&소울 레볼루션,Netmarble,롤플레잉
16,17,(-),클래시 로얄,Supercell,전략
17,18,(+1),배틀그라운드 모바일,PUBG CORPORATION,액션
18,19,(-1),랑그릿사,ZlongGames,전략
19,20,(-),라스트오리진,smart joy,롤플레잉
20,21,(-),기적의 검,4399 KOREA,롤플레잉
21,22,(-),제5인격,X.D. Global,어드벤처
22,23,(+1),클래시 오브 클랜,Supercell,전략
23,24,(+3),페이트 그랜드 오더,Netmarble,롤플레잉
24,25,(-),에오스 레드,BluePotion Games,롤플레잉
25,26,(+2),에픽세븐,Smilegate Megaport,롤플레잉
26,27,(+4),궁수의 전설,Habby,액션
27,28,(+1),붕괴3rd,miHoYo Limited,액션
28,29,(NEW),무한의계단,NFLY STUDIO,아케이드
29,30,(-4),모두의마블 for kakao,Netmarble,보드
30,31,(NEW),샤이닝라이트,Eyougame Inc.,롤플레잉
31,32,(+2),냥코 대전쟁,PONOS Corporation,캐주얼 게임
