,column-1,column-1 2,column-2,column-3,column-4
27,28,(+2),더 포레스트,Endnight Games Ltd,서바이벌
28,29,(-2),화이트데이 : 학교라는 이름의 미궁,"PQube Limited, SONNORI Corp",어드벤처
29,30,(+2),아이언 하베스트,Deep Silver,전략
30,31,(-3),NBA 2K20,2K,스포츠
31,32,(NEW),토탈 워: 삼국,SEGA,전략
32,33,(-),원피스 해적무쌍 4,BANDAI NAMCO Entertainment,액션
33,34,(-),역전재판 123 나루호도 셀렉션,"CAPCOM Co., Ltd.",어드벤처
34,35,(+5),뉴 월드,Spring 2021,MMORPG
35,36,(NEW),마이크로소프트 플라이트 시뮬레이터,Xbox Game Studios,시뮬레이션
36,37,(-),몬스터 헌터 월드: 아이스본,"CAPCOM Co., Ltd.",액션
37,38,(-2),어그로우,Bingames,캐주얼
38,39,(-10),건파이어 리본,Duoyi (Hong Kong) Interactive Entertainment Limited,액션
39,40,(-2),데스 스트랜딩,505 Games,액션
0,1,(-),어몽 어스,Innersloth,전략
1,2,(-),폴가이즈,Devolver Digital,어드벤처
2,3,(-),플레이어언노운스 배틀그라운드,PUBG Corporation,서바이벌 슈팅
3,4,(-),GTA 5,Rockstar Games,오픈월드 범죄 액션
4,5,(+2),피파 21,Electronic Arts,스포츠
5,6,(-1),데드 바이 데이라이트,Behaviour Digital Inc.,액션
6,7,(+1),크루세이더 킹즈 3,Paradox Interactive,전략 시뮬레이션
7,8,(-2),스타듀밸리,ConcernedApe,전원생활 시뮬레이션
8,9,(+1),NBA 2K21,2K,스포츠
9,10,(+3),사이버펑크 2077,CD PROJEKT RED,오픈월드 액션 RPG
10,11,(-2),휴먼: 폴 플랫,Curve Digital,퍼즐
11,12,(-),더 심즈 4,Electronic Arts,시뮬레이션
12,13,(+2),레드 데드 리뎀션 2,Rockstar Games,액션
13,14,(-3),씨 오브 시브즈,Xbox Game Studios,어드벤처
14,15,(+6),아크: 서바이벌 이볼브드,Studio Wildcard,어드벤처
15,16,(-),철권 7,BANDAI NAMCO Entertainment,액션
16,17,(+2),어쌔신 크리드 : 오디세이,Ubisoft,롤플레잉
17,18,(-1),호라이즌 제로 던 컴플리트 에디션,"PlayStation Mobile, Inc.",오픈월드 액션 RPG
18,19,(-1),문명6,2K,전략
19,20,(-),테라리아,Re-Logic,롤플레잉
20,21,(+1),톰 클랜시의 레인보우 식스 시즈,Ubisoft,FPS
21,22,(+1),슈퍼 버니 맨,Catobyte Ltd,액션
22,23,(NEW),풋볼 매니저 2020,SEGA,시뮬레이션
23,24,(NEW),래프트,Square Enix,어드벤처
24,25,(+2),디스코 엘리시움,ZA/UM,RPG
25,26,(-1),삼국지14,"KOEI TECMO GAMES CO., LTD.",시뮬레이션
26,27,(-1),디트로이트: 비컴 휴먼,Quantic Dream,액션
27,28,(+1),화이트데이 : 학교라는 이름의 미궁,"PQube Limited, SONNORI Corp",어드벤처
28,29,(-1),더 포레스트,Endnight Games Ltd,서바이벌
29,30,(-6),더 위쳐 3: 와일드 헌트,CD PROJEKT RED,롤플레잉
30,31,(+3),역전재판 123 나루호도 셀렉션,"CAPCOM Co., Ltd.",어드벤처
31,32,(+1),원피스 해적무쌍 4,BANDAI NAMCO Entertainment,액션
32,33,(NEW),나이트 오브 더 데드,jacktostudios,어드벤처
33,34,(-2),토탈 워: 삼국,SEGA,전략
34,35,(-),뉴 월드,Amazon Games,MMORPG
35,36,(-5),NBA 2K20,2K,스포츠
36,37,(NEW),헤일로: 더 마스터 치프 컬렉션,Xbox Game Studios,액션
37,38,(-8),아이언 하베스트,Deep Silver,전략
38,39,(-2),몬스터 헌터 월드: 아이스본,"CAPCOM Co., Ltd.",액션
39,40,(-),데스 스트랜딩,505 Games,액션
0,1,(-),어몽 어스,Innersloth,전략
1,2,(-),폴가이즈,Devolver Digital,어드벤처
2,3,(-),플레이어언노운스 배틀그라운드,PUBG Corporation,서바이벌 슈팅
3,4,(+1),피파 21,Electronic Arts,스포츠
4,5,(-1),GTA 5,Rockstar Games,오픈월드 범죄 액션
5,6,(-),데드 바이 데이라이트,Behaviour Digital Inc.,액션
6,7,(-),크루세이더 킹즈 3,Paradox Interactive,전략 시뮬레이션
7,8,(-),스타듀밸리,ConcernedApe,전원생활 시뮬레이션
8,9,(+1),사이버펑크 2077,CD PROJEKT RED,오픈월드 액션 RPG
9,10,(-1),NBA 2K21,2K,스포츠
10,11,(+1),더 심즈 4,Electronic Arts,시뮬레이션
11,12,(+1),레드 데드 리뎀션 2,Rockstar Games,액션
12,13,(-2),휴먼: 폴 플랫,Curve Digital,퍼즐
13,14,(+1),아크: 서바이벌 이볼브드,Studio Wildcard,어드벤처
14,15,(+1),철권 7,BANDAI NAMCO Entertainment,액션
15,16,(-2),씨 오브 시브즈,Xbox Game Studios,어드벤처
16,17,(-),어쌔신 크리드 : 오디세이,Ubisoft,롤플레잉
17,18,(+1),문명6,2K,전략
18,19,(+4),풋볼 매니저 2020,SEGA,시뮬레이션
19,20,(-2),호라이즌 제로 던 컴플리트 에디션,"PlayStation Mobile, Inc.",오픈월드 액션 RPG
20,21,(-),톰 클랜시의 레인보우 식스 시즈,Ubisoft,FPS
21,22,(+11),나이트 오브 더 데드,jacktostudios,어드벤처
22,23,(-3),테라리아,Re-Logic,롤플레잉
23,24,(+3),디트로이트: 비컴 휴먼,Quantic Dream,액션
24,25,(-1),래프트,Square Enix,어드벤처
25,26,(NEW),하데스,Supergiant Games,액션
26,27,(-1),삼국지14,"KOEI TECMO GAMES CO., LTD.",시뮬레이션
27,28,(-),화이트데이 : 학교라는 이름의 미궁,"PQube Limited, SONNORI Corp",어드벤처
28,29,(-),더 포레스트,Endnight Games Ltd,서바이벌
29,30,(-8),슈퍼 버니 맨,Catobyte Ltd,액션
30,31,(+1),원피스 해적무쌍 4,BANDAI NAMCO Entertainment,액션
31,32,(-1),역전재판 123 나루호도 셀렉션,"CAPCOM Co., Ltd.",어드벤처
32,33,(-3),더 위쳐 3: 와일드 헌트,CD PROJEKT RED,롤플레잉
33,34,(-9),디스코 엘리시움,ZA/UM,RPG
34,35,(-),뉴 월드,Amazon Games,MMORPG
35,36,(+3),몬스터 헌터 월드: 아이스본,"CAPCOM Co., Ltd.",액션
36,37,(NEW),니어 : 오토마타,Square Enix,액션
37,38,(+2),데스 스트랜딩,505 Games,액션
38,39,(NEW),시티즈: 스카이 라인,Paradox Interactive,시뮬레이션
39,40,(NEW),세키로,Activision (Excluding Japan and Asia),액션
0,1,(-),어몽 어스,Innersloth,전략
1,2,(+1),플레이어언노운스 배틀그라운드,PUBG Corporation,서바이벌 슈팅
2,3,(-1),폴가이즈,Devolver Digital,어드벤처
3,4,(-),피파 21,Electronic Arts,스포츠
4,5,(-),GTA 5,Rockstar Games,오픈월드 범죄 액션
5,6,(-),데드 바이 데이라이트,Behaviour Digital Inc.,액션
6,7,(+1),스타듀밸리,ConcernedApe,전원생활 시뮬레이션
7,8,(-1),크루세이더 킹즈 3,Paradox Interactive,전략 시뮬레이션
8,9,(-),사이버펑크 2077,CD PROJEKT RED,오픈월드 액션 RPG
9,10,(+2),레드 데드 리뎀션 2,Rockstar Games,액션
10,11,(-),더 심즈 4,Electronic Arts,시뮬레이션
11,12,(-2),NBA 2K21,2K,스포츠
12,13,(+2),철권 7,BANDAI NAMCO Entertainment,액션
13,14,(-1),휴먼: 폴 플랫,Curve Digital,퍼즐
14,15,(-1),아크: 서바이벌 이볼브드,Studio Wildcard,어드벤처
15,16,(+1),어쌔신 크리드 : 오디세이,Ubisoft,롤플레잉
16,17,(+1),문명6,2K,전략
17,18,(+1),풋볼 매니저 2020,SEGA,시뮬레이션
18,19,(-3),씨 오브 시브즈,Xbox Game Studios,어드벤처
19,20,(-),호라이즌 제로 던 컴플리트 에디션,"PlayStation Mobile, Inc.",오픈월드 액션 RPG
20,21,(+5),하데스,Supergiant Games,액션
21,22,(-),나이트 오브 더 데드,jacktostudios,어드벤처
22,23,(+1),디트로이트: 비컴 휴먼,Quantic Dream,액션
23,24,(-3),톰 클랜시의 레인보우 식스 시즈,Ubisoft,FPS
24,25,(-),래프트,Square Enix,어드벤처
25,26,(-3),테라리아,Re-Logic,롤플레잉
26,27,(-),삼국지14,"KOEI TECMO GAMES CO., LTD.",시뮬레이션
27,28,(+1),더 포레스트,Endnight Games Ltd,서바이벌
28,29,(-1),화이트데이 : 학교라는 이름의 미궁,"PQube Limited, SONNORI Corp",어드벤처
29,30,(+7),니어: 오토마타,Square Enix,액션
30,31,(+8),시티즈: 스카이 라인,Paradox Interactive,시뮬레이션
31,32,(+1),더 위쳐 3: 와일드 헌트,CD PROJEKT RED,롤플레잉
32,33,(-2),원피스 해적무쌍 4,BANDAI NAMCO Entertainment,액션
33,34,(-2),역전재판 123 나루호도 셀렉션,"CAPCOM Co., Ltd.",어드벤처
34,35,(+3),데스 스트랜딩,505 Games,액션
35,36,(-6),슈퍼 버니 맨,Catobyte Ltd,액션
36,37,(-1),몬스터 헌터 월드: 아이스본,"CAPCOM Co., Ltd.",액션
37,38,(NEW),토탈 워: 삼국,SEGA,전략
38,39,(-4),뉴 월드,Amazon Games,MMORPG
39,40,(-),세키로,Activision (Excluding Japan and Asia),액션
0,1,(-),어몽 어스,Innersloth,전략
1,2,(-),플레이어언노운스 배틀그라운드,PUBG Corporation,서바이벌 슈팅
2,3,(+1),피파 21,Electronic Arts,스포츠
3,4,(-1),폴가이즈,Devolver Digital,어드벤처
4,5,(-),GTA 5,Rockstar Games,오픈월드 범죄 액션
5,6,(+3),사이버펑크 2077,CD PROJEKT RED,오픈월드 액션 RPG
6,7,(-1),데드 바이 데이라이트,Behaviour Digital Inc.,액션
7,8,(-1),스타듀밸리,ConcernedApe,전원생활 시뮬레이션
8,9,(+1),레드 데드 리뎀션 2,Rockstar Games,액션
9,10,(+1),더 심즈 4,Electronic Arts,시뮬레이션
10,11,(+4),아크: 서바이벌 이볼브드,Studio Wildcard,어드벤처
11,12,(-4),크루세이더 킹즈 3,Paradox Interactive,전략 시뮬레이션
12,13,(+3),어쌔신 크리드 : 오디세이,Ubisoft,롤플레잉
13,14,(+7),하데스,Supergiant Games,액션
14,15,(-1),휴먼: 폴 플랫,Curve Digital,퍼즐
15,16,(+2),풋볼 매니저 2020,SEGA,시뮬레이션
16,17,(-),문명6,2K,전략
17,18,(+4),나이트 오브 더 데드,jacktostudios,어드벤처
18,19,(-6),철권 7,BANDAI NAMCO Entertainment,액션
19,20,(-8),NBA 2K21,2K,스포츠
20,21,(-2),씨 오브 시브즈,Xbox Game Studios,어드벤처
21,22,(+3),래프트,Square Enix,어드벤처
22,23,(-),디트로이트: 비컴 휴먼,Quantic Dream,액션
23,24,(-4),호라이즌 제로 던 컴플리트 에디션,"PlayStation Mobile, Inc.",오픈월드 액션 RPG
24,25,(-1),톰 클랜시의 레인보우 식스 시즈,Ubisoft,FPS
25,26,(+1),삼국지14,"KOEI TECMO GAMES CO., LTD.",시뮬레이션
26,27,(+3),니어: 오토마타,Square Enix,액션
27,28,(+1),화이트데이 : 학교라는 이름의 미궁,"PQube Limited, SONNORI Corp",어드벤처
28,29,(-3),테라리아,Re-Logic,롤플레잉
29,30,(+3),원피스 해적무쌍 4,BANDAI NAMCO Entertainment,액션
30,31,(-),시티즈: 스카이 라인,Paradox Interactive,시뮬레이션
31,32,(-4),더 포레스트,Endnight Games Ltd,서바이벌
32,33,(NEW),발더스 게이트 3,Larian Studios,어드벤처
33,34,(-2),더 위쳐 3: 와일드 헌트,CD PROJEKT RED,롤플레잉
34,35,(+2),몬스터 헌터 월드: 아이스본,"CAPCOM Co., Ltd.",액션
35,36,(-),슈퍼 버니 맨,Catobyte Ltd,액션
36,37,(-3),역전재판 123 나루호도 셀렉션,"CAPCOM Co., Ltd.",어드벤처
37,38,(-3),데스 스트랜딩,505 Games,액션
38,39,(+1),세키로,Activision (Excluding Japan and Asia),액션
39,40,(-2),토탈 워: 삼국,SEGA,전략
0,1,(-),어몽 어스,Innersloth,전략
1,2,(+1),피파 21,Electronic Arts,스포츠
2,3,(-1),플레이어언노운스 배틀그라운드,PUBG Corporation,서바이벌 슈팅
3,4,(+2),사이버펑크 2077,CD PROJEKT RED,오픈월드 액션 RPG
4,5,(-1),폴가이즈,Devolver Digital,어드벤처
5,6,(-1),GTA 5,Rockstar Games,오픈월드 범죄 액션
6,7,(+1),스타듀밸리,ConcernedApe,전원생활 시뮬레이션
7,8,(-1),데드 바이 데이라이트,Behaviour Digital Inc.,액션
8,9,(+1),더 심즈 4,Electronic Arts,시뮬레이션
9,10,(+3),어쌔신 크리드 : 오디세이,Ubisoft,롤플레잉
10,11,(-),아크: 서바이벌 이볼브드,Studio Wildcard,어드벤처
11,12,(+3),휴먼: 폴 플랫,Curve Digital,퍼즐
12,13,(-4),레드 데드 리뎀션 2,Rockstar Games,액션
13,14,(+8),래프트,Square Enix,어드벤처
14,15,(-1),하데스,Supergiant Games,액션
15,16,(+7),디트로이트: 비컴 휴먼,Quantic Dream,액션
16,17,(-),문명6,2K,전략
17,18,(+1),철권 7,BANDAI NAMCO Entertainment,액션
18,19,(-1),나이트 오브 더 데드,jacktostudios,어드벤처
19,20,(-),NBA 2K21,2K,스포츠
20,21,(-9),크루세이더 킹즈 3,Paradox Interactive,전략 시뮬레이션
21,22,(+2),호라이즌 제로 던 컴플리트 에디션,"PlayStation Mobile, Inc.",오픈월드 액션 RPG
22,23,(-2),씨 오브 시브즈,Xbox Game Studios,어드벤처
23,24,(-8),풋볼 매니저 2020,SEGA,시뮬레이션
24,25,(+2),니어 오토마타,Square Enix,액션
25,26,(+2),화이트데이 : 학교라는 이름의 미궁,"PQube Limited, SONNORI Corp",어드벤처
26,27,(+6),발더스 게이트 3,Larian Studios,어드벤처
27,28,(-3),톰 클랜시의 레인보우 식스 시즈,Ubisoft,FPS
28,29,(-3),삼국지14,"KOEI TECMO GAMES CO., LTD.",시뮬레이션
29,30,(-1),테라리아,Re-Logic,롤플레잉
30,31,(NEW),파스모포비아,Kinetic Games,공포
31,32,(-1),시티즈: 스카이 라인,Paradox Interactive,시뮬레이션
32,33,(-1),더 포레스트,Endnight Games Ltd,서바이벌
33,34,(-),더 위쳐 3: 와일드 헌트,CD PROJEKT RED,롤플레잉
34,35,(-),몬스터 헌터 월드: 아이스본,"CAPCOM Co., Ltd.",액션
35,36,(-6),원피스 해적무쌍 4,BANDAI NAMCO Entertainment,액션
36,37,(+1),데스 스트랜딩,505 Games,액션
37,38,(-2),슈퍼 버니 맨,Catobyte Ltd,액션
38,39,(-),세키로,Activision (Excluding Japan and Asia),액션
39,40,(-3),역전재판 123 나루호도 셀렉션,"CAPCOM Co., Ltd.",어드벤처
0,1,(-),어몽 어스,Innersloth,전략
1,2,(+1),플레이어언노운스 배틀그라운드,PUBG Corporation,서바이벌 슈팅
2,3,(-1),피파 21,Electronic Arts,스포츠
3,4,(-),사이버펑크 2077,CD PROJEKT RED,오픈월드 액션 RPG
4,5,(-),폴가이즈,Devolver Digital,어드벤처
5,6,(-),GTA 5,Rockstar Games,오픈월드 범죄 액션
6,7,(NEW),인 사일런스,Ravenhood Games,공포
7,8,(-1),스타듀밸리,ConcernedApe,전원생활 시뮬레이션
8,9,(-1),데드 바이 데이라이트,Behaviour Digital Inc.,액션
9,10,(+3),레드 데드 리뎀션 2,Rockstar Games,액션
10,11,(-2),더 심즈 4,Electronic Arts,시뮬레이션
11,12,(-2),어쌔신 크리드 : 오디세이,Ubisoft,롤플레잉
12,13,(+1),래프트,Square Enix,어드벤처
13,14,(-3),아크: 서바이벌 이볼브드,Studio Wildcard,어드벤처
14,15,(+1),디트로이트: 비컴 휴먼,Quantic Dream,액션
15,16,(-4),휴먼: 폴 플랫,Curve Digital,퍼즐
16,17,(+14),파스모포비아,Kinetic Games,공포
17,18,(-1),문명6,2K,전략
18,19,(-4),하데스,Supergiant Games,액션
19,20,(-2),철권 7,BANDAI NAMCO Entertainment,액션
20,21,(-1),NBA 2K21,2K,스포츠
21,22,(+5),발더스 게이트 3,Larian Studios,어드벤처
22,23,(-1),호라이즌 제로 던 컴플리트 에디션,"PlayStation Mobile, Inc.",오픈월드 액션 RPG
23,24,(+5),삼국지14,"KOEI TECMO GAMES CO., LTD.",시뮬레이션
24,25,(+3),톰 클랜시의 레인보우 식스 시즈,Ubisoft,FPS
25,26,(+4),테라리아,Re-Logic,롤플레잉
26,27,(-2),니어 오토마타,Square Enix,액션
27,28,(-9),나이트 오브 더 데드,jacktostudios,어드벤처
28,29,(-8),크루세이더 킹즈 3,Paradox Interactive,전략 시뮬레이션
29,30,(+3),더 포레스트,Endnight Games Ltd,서바이벌
30,31,(+1),시티즈: 스카이 라인,Paradox Interactive,시뮬레이션
31,32,(+2),더 위쳐 3: 와일드 헌트,CD PROJEKT RED,롤플레잉
32,33,(+4),데스 스트랜딩,505 Games,액션
33,34,(-11),씨 오브 시브즈,Xbox Game Studios,어드벤처
34,35,(-),몬스터 헌터 월드: 아이스본,"CAPCOM Co., Ltd.",액션
35,36,(+2),슈퍼 버니 맨,Catobyte Ltd,액션
36,37,(-1),원피스 해적무쌍 4,BANDAI NAMCO Entertainment,액션
37,38,(+1),세키로,Activision (Excluding Japan and Asia),액션
38,39,(NEW),토탈 워: 삼국,SEGA,전략
39,40,(NEW),에이지 오브 엠파이어 3 결정판,Xbox Game Studios,실존 역사 기반 RTS
0,1,(-),어몽 어스,Innersloth,전략
1,2,(-),플레이어언노운스 배틀그라운드,PUBG Corporation,서바이벌 슈팅
2,3,(+1),사이버펑크 2077,CD PROJEKT RED,오픈월드 액션 RPG
3,4,(-1),피파 21,Electronic Arts,스포츠
4,5,(-),폴가이즈,Devolver Digital,어드벤처
5,6,(+1),인 사일런스,Ravenhood Games,공포
6,7,(-1),GTA 5,Rockstar Games,오픈월드 범죄 액션
7,8,(+1),데드 바이 데이라이트,Behaviour Digital Inc.,액션
8,9,(-1),스타듀밸리,ConcernedApe,전원생활 시뮬레이션
9,10,(NEW),영원회귀: 블랙서바이벌,Nimble Neuron,전략 기반 서바이벌
10,11,(-1),레드 데드 리뎀션 2,Rockstar Games,액션
11,12,(+5),파스모포비아,Kinetic Games,공포
12,13,(-),래프트,Square Enix,어드벤처
13,14,(-3),더 심즈 4,Electronic Arts,시뮬레이션
14,15,(-3),어쌔신 크리드 : 오디세이,Ubisoft,롤플레잉
15,16,(-1),디트로이트: 비컴 휴먼,Quantic Dream,액션
16,17,(-3),아크: 서바이벌 이볼브드,Studio Wildcard,어드벤처
17,18,(-2),휴먼: 폴 플랫,Curve Digital,퍼즐
18,19,(-),하데스,Supergiant Games,액션
19,20,(-),철권 7,BANDAI NAMCO Entertainment,액션
20,21,(-3),문명6,2K,전략
21,22,(-),발더스 게이트 3,Larian Studios,어드벤처
22,23,(-2),NBA 2K21,2K,스포츠
23,24,(+1),톰 클랜시의 레인보우 식스 시즈,Ubisoft,FPS
24,25,(-2),호라이즌 제로 던 컴플리트 에디션,"PlayStation Mobile, Inc.",오픈월드 액션 RPG
25,26,(-),테라리아,Re-Logic,롤플레잉
26,27,(-3),삼국지14,"KOEI TECMO GAMES CO., LTD.",시뮬레이션
27,28,(+2),더 포레스트,Endnight Games Ltd,서바이벌
28,29,(+3),더 위쳐 3: 와일드 헌트,CD PROJEKT RED,롤플레잉
29,30,(+3),데스 스트랜딩,505 Games,액션
30,31,(NEW),고스트러너,505 Games,액션
31,32,(-5),니어 오토마타,Square Enix,액션
32,33,(+5),세키로,Activision (Excluding Japan and Asia),액션
33,34,(+1),몬스터 헌터 월드: 아이스본,"CAPCOM Co., Ltd.",액션
34,35,(-7),나이트 오브 더 데드,jacktostudios,어드벤처
35,36,(-5),시티즈: 스카이 라인,Paradox Interactive,시뮬레이션
36,37,(-1),슈퍼 버니 맨,Catobyte Ltd,액션
37,38,(-4),씨 오브 시브즈,Xbox Game Studios,어드벤처
38,39,(-10),크루세이더 킹즈 3,Paradox Interactive,전략 시뮬레이션
39,40,(NEW),둠 이터널,Bethesda Softworks,액션
0,1,(-),어몽 어스,Innersloth,전략
1,2,(-),플레이어언노운스 배틀그라운드,PUBG Corporation,서바이벌 슈팅
2,3,(-),사이버펑크 2077,CD PROJEKT RED,오픈월드 액션 RPG
3,4,(-),피파 21,Electronic Arts,스포츠
4,5,(+1),인 사일런스,Ravenhood Games,공포
5,6,(+4),영원회귀: 블랙서바이벌,Nimble Neuron,전략 기반 서바이벌
6,7,(-),GTA 5,Rockstar Games,오픈월드 범죄 액션
7,8,(-3),폴가이즈,Devolver Digital,어드벤처
8,9,(-1),데드 바이 데이라이트,Behaviour Digital Inc.,액션
9,10,(-1),스타듀밸리,ConcernedApe,전원생활 시뮬레이션
10,11,(+1),파스모포비아,Kinetic Games,공포
11,12,(-1),레드 데드 리뎀션 2,Rockstar Games,액션
12,13,(-),래프트,Square Enix,어드벤처
13,14,(-),더 심즈 4,Electronic Arts,시뮬레이션
14,15,(+1),디트로이트: 비컴 휴먼,Quantic Dream,액션
15,16,(-1),어쌔신 크리드 : 오디세이,Ubisoft,롤플레잉
16,17,(-),아크: 서바이벌 이볼브드,Studio Wildcard,어드벤처
17,18,(-),휴먼: 폴 플랫,Curve Digital,퍼즐
18,19,(-),하데스,Supergiant Games,액션
19,20,(+1),문명6,2K,전략
20,21,(-1),철권 7,BANDAI NAMCO Entertainment,액션
21,22,(+4),테라리아,Re-Logic,롤플레잉
22,23,(+8),고스트러너,505 Games,액션
